,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,136852,195431,217706,288043,766704,739013,709923,744937,909856,1231908,1516416,1796996,1838664,1919694,2417752,5870719,5620568,7027715,7351773,7973400
Aktywa obrotowe,174605,239305,316485,409112,659504,621610,716446,868931,1022366,1259662,1417310,1768173,1839268,2287125,2963056,3735143,4733200,7107533,5569267,5828700
Kapitał własny akcjonariuszy jednostki dominującej,190819,232450,271502,405662,565235,684609,733895,906494,1208510,1493312,1635183,1889739,2134731,2443446,2860553,3247491,3068391,3272112,3986014,4713700
Udziały niekontrolujące,0,0,0,0,0,0,0,2700,2538,3178,3231,0,0,-15,-15,-15,-15,-15,-1637,3300
Zobowiązania długoterminowe,4441,15058,15544,33358,322316,347725,281231,89356,130980,192331,210714,344083,267254,233140,346148,3159266,3114193,3983219,3722711,3431300
Zobowiązania krótkoterminowe,115067,186216,245708,258135,538657,328289,411243,615318,590194,802749,1084598,1331347,1275947,1530248,2174122,3199120,4171199,6879932,5213952,5653800
