,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,3034,19017,29288,29841,38543,36692,27964,35810,73991,81850,69505,63181,64632
Aktywa obrotowe,53577,41818,49005,45851,54771,74725,52725,66092,69682,61672,84023,102916,79394
Kapitał własny akcjonariuszy jednostki dominującej,18962,27510,31021,34820,49111,46765,43917,46917,51835,56637,63794,58443,61466
Udziały niekontrolujące,30,0,4885,4221,3406,1839,-494,-1905,-772,-2621,-3824,0,0
Zobowiązania długoterminowe,3955,5783,5295,6239,7233,9044,5402,6868,33869,41158,32960,26196,24296
Zobowiązania krótkoterminowe,32417,21309,35096,30412,33564,53769,31864,50022,58741,48348,60598,81458,58264
