,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,27230,73557,119785,33300,29324,25686,22069,17777,43312,76668,91896,106375,126765,178817,193247,152352,149676,142883
Aktywa obrotowe,28382,68846,73744,83649,102746,75787,87918,84228,96057,118297,139782,135501,136135,128890,116515,183764,205291,209899
Kapitał własny akcjonariuszy jednostki dominującej,27446,95572,63252,-51323,58350,63229,71462,88478,119460,165767,188879,203278,217950,225191,190950,209354,266521,284386
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,-1882,-2265,-2069,0,0,0
Zobowiązania długoterminowe,192,14265,52131,766,29191,24495,1049,50,0,0,0,1218,2811,28657,50694,20706,20867,18970
Zobowiązania krótkoterminowe,27885,32273,77873,167362,44529,13749,37476,13477,19909,29198,42799,37380,44021,56124,70187,106056,67579,49426
