,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aktywa trwałe,9112,18387,43135,45324,28296,26134,23715,39992,34834,37047,42752,51535,49184,39852,40600,42657,46799,47206,47350
Aktywa obrotowe,50657,53824,87179,78924,70566,67207,93665,107100,89002,91104,96784,83479,86964,101215,117707,125540,126692,141608,155676
Kapitał własny akcjonariuszy jednostki dominującej,33302,45665,48193,49086,32975,34422,40300,50402,53012,58686,65963,66536,65171,72917,69740,74362,80386,85840,93575
Udziały niekontrolujące,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,618,1913,11065,9720,48379,50695,6045,64511,8903,48479,62439,5667,40360,43029,6099,43086,6253,6076,6745
Zobowiązania krótkoterminowe,25566,24633,70727,65442,17508,8224,71035,32179,61921,20986,11134,62811,30617,25121,82468,50749,86852,96898,102706
