,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,24678,26794,34944,34525,45056,47015,70912,119176,44910,40329,37296,36017,31748
Aktywa obrotowe,83648,88642,107199,89484,90505,92969,99615,79438,80059,96556,104668,107754,80065
Kapitał własny akcjonariuszy jednostki dominującej,57360,37045,53013,65438,77003,87130,104340,121901,66323,88788,93574,99432,54225
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,0,19268,10450,4821,509,354,13879,339,151,237,90,5,761
Zobowiązania krótkoterminowe,43092,53507,73898,48405,48478,43772,44621,70412,52627,41723,43184,38121,28042
