,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Rok,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,28196,34968,33492,60800,64241,60962,58515,58019,57459,57097,61740,67064,69513,67342,70268,74373,83018
Aktywa obrotowe,46102,41342,40062,29938,32227,34775,46376,47894,51099,62817,58772,72644,60882,70964,60066,66978,57809
Kapitał własny akcjonariuszy jednostki dominującej,42252,44927,48906,50073,45410,47401,51810,54271,57163,59520,66466,72364,74986,76553,74514,78974,91717
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,5145,2682,112,5406,9123,6833,13337,12714,11800,12557,12494,13781,14802,12091,12594,12287,7922
Zobowiązania krótkoterminowe,23971,22348,18909,22903,27126,28151,26382,26452,28319,36710,30978,43905,30983,40760,34638,41760,32828
