,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rok,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,61682,93252,188805,182876,170726,168914,166157,127324,122944,113382,108619,99654,91492,105206,140360
Aktywa obrotowe,43622,90056,89756,104604,93515,93843,88795,98614,83743,87457,72178,80982,80124,86438,84069
Kapitał własny akcjonariuszy jednostki dominującej,44489,110895,119260,125703,127590,138329,141868,103806,101025,112177,96098,94802,90276,94797,113829
Udziały niekontrolujące,0,546,12068,12122,8660,9052,9369,-1531,3687,3983,2237,1282,934,412,7684
Zobowiązania długoterminowe,23282,26911,52806,44033,31729,23406,15966,24625,24324,19358,20249,18861,9259,4405,5481
Zobowiązania krótkoterminowe,37533,44956,94427,105622,96262,91970,87749,99038,77651,65321,62213,65691,71147,92030,97435
