,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,49098,51243,57787,64572,80699,78819,102881,124146,131554,136786,139811,134507
Aktywa obrotowe,26799,37233,34051,42866,42891,54528,48664,48191,78894,90517,93245,93090
Kapitał własny akcjonariuszy jednostki dominującej,32396,37102,38583,60625,52396,54408,56028,55039,84563,77851,90931,81800
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,16884,22019,17019,13888,24603,19415,22561,38054,34620,32031,29142,23329
Zobowiązania krótkoterminowe,26617,29355,36236,32925,46591,59524,72956,79244,91263,108035,105006,116699
