,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,847218,886710,731625,778009,917445,1000791,1085328,1226947,1411877,1582054,1584053,1561507,1690364,1727731
Aktywa obrotowe,212240,293601,251115,261795,322663,268004,356557,349723,374780,381303,476732,797595,1202009,797167
Kapitał własny akcjonariuszy jednostki dominującej,291995,303583,523279,532389,586431,601819,715347,746618,807957,736684,786689,1130359,1543067,1381338
Udziały niekontrolujące,29,30,35,37,36,39,41,47,48,60,58,60,71,82
Zobowiązania długoterminowe,535595,595774,225494,302032,386357,381336,404734,467711,542236,850654,856185,714894,613051,641274
Zobowiązania krótkoterminowe,231839,280924,233932,205346,267284,285601,321763,362294,436416,375959,417853,513789,736184,502204
