,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,989309,1001722,1047354,989463,2272354,3308229,3552652,6635580,6781085,7224923,7651480,8069981,9886441,10705437,13511725,14905836,16948753,17265116
Aktywa obrotowe,315112,328958,556892,591855,974347,1638000,1804389,3325950,3167247,3552246,3400440,3668063,4274028,4773254,4695425,8738869,8916891,7031404
Kapitał własny akcjonariuszy jednostki dominującej,795146,864628,1153865,1111132,1502176,2750470,3076620,5561457,5759039,6367288,6533877,6855759,6703038,7036374,7339074,7941863,8934649,5951454
Udziały niekontrolujące,1064,1390,3466,2163,447926,402197,414078,709194,729097,768933,595388,587648,625188,657573,949828,990304,1021718,516835
Zobowiązania długoterminowe,287623,239338,224365,199778,366989,639017,718725,1412617,1195845,1785146,2072368,2336621,3556776,4288382,5704419,5951160,7294419,2997479
Zobowiązania krótkoterminowe,220588,225324,222550,268245,929610,1154545,1147618,2278262,2264351,1855802,1850287,1958016,3275467,3496362,4213829,8761378,8614858,14830752
