,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,39816,92218,123630,131414,143515,135462,152260,191265,193846,203746,213156,258268,349883,412263,400787,405377,385964,367372,360207,342297
Aktywa obrotowe,73276,73644,79010,78605,87128,115451,143122,186935,243779,299623,341748,376253,322931,320052,372888,398343,404918,446604,384934,469042
Kapitał własny akcjonariuszy jednostki dominującej,67514,90483,134667,157045,170838,187891,220633,262828,312758,372172,429356,491578,550308,630704,670238,690602,702443,708526,639664,697843
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,9909,17818,4911,84,284,35,564,1001,679,14843,16835,19262,18451,9249,9975,0,8220,18483,17670,20529
Zobowiązania krótkoterminowe,31445,55156,56746,44685,44444,46821,56718,93920,102856,116354,108713,123681,104055,92362,93462,113118,80219,86967,87807,92967
