,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aktywa trwałe,9297,19672,39048,84298,93822,88628,90974,86316,82935,80702,74921,69914,66204,61164,58574,60768,62000,61986
Aktywa obrotowe,50286,59994,70798,87801,88889,66936,76027,65522,66863,69510,59618,51412,56115,67636,77559,70394,58911,59334
Kapitał własny akcjonariuszy jednostki dominującej,13670,36143,40772,41414,41560,42613,30230,30846,28973,26320,21901,13327,20515,29630,23455,4549,3109,-10571
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,1252,3862,9029,38629,21020,8680,27257,14776,25487,14234,19902,4940,2786,1745,3290,28606,15193,9444
Zobowiązania krótkoterminowe,44477,39659,59936,91947,110277,94861,100161,96811,86483,101598,85090,95804,91836,90474,102632,90882,96702,117126
