,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,51617,60742,77761,86999,64471,53813,32529,51442,49669,53597,42932,40063,38601,39562,41592,39897,38534,38474,39150
Aktywa obrotowe,55521,78058,88382,69105,22648,26357,18631,21487,15748,12652,15347,15522,10442,10940,12112,13416,18536,17739,20412
Kapitał własny akcjonariuszy jednostki dominującej,43295,68786,84369,74291,8994,22749,14678,8959,19191,17944,14994,5250,14360,22448,21904,20452,21491,22056,21629
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,9311,5953,12407,35156,13652,4058,7714,21161,16743,21382,26934,21785,16112,16445,23508,16420,21667,20840,5911
Zobowiązania krótkoterminowe,50875,61050,65321,39903,64473,53363,28768,42809,29483,26923,16351,28550,18571,11609,8292,16441,13912,13317,32022
