,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,147669,156361,154978,210453,272399,294163,307643,357021,404833,489616,571992,769965,915524,1167475
Aktywa obrotowe,62529,100266,81425,119445,116440,122297,168996,162408,209523,210322,207875,278651,422576,357415
Kapitał własny akcjonariuszy jednostki dominującej,80949,90810,65107,115407,126105,143218,146423,162917,186545,208708,297050,381935,461617,559991
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,72876,76971,77069,91422,117670,150821,141870,181644,226858,288286,292110,385675,368503,475497
Zobowiązania krótkoterminowe,56373,88846,94227,123069,145064,122421,188346,174868,200953,202944,190707,281006,507980,489402
