,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,805181,828211,629511,800013,926105,841550,826329,877531,917673,1274912,1369234,1525239,1483893,1526886,1637006,1837782,2659146,2679467,2783769,2237043
Aktywa obrotowe,513177,608347,575732,558973,940451,416111,482955,662812,653245,712801,709478,658465,575942,639040,731429,1095718,749717,1499476,1565753,1067480
Kapitał własny akcjonariuszy jednostki dominującej,895323,1049290,746931,927241,955987,533114,560548,873158,977333,969895,1012426,1134699,1095654,1154816,1086425,1133753,1744244,1854805,1865850,754319
Udziały niekontrolujące,0,0,0,5867,6598,5768,3638,4326,1769,96416,94907,93308,-21540,-33052,113538,203373,45,51,54,53
Zobowiązania długoterminowe,1390,654,311,116057,145430,142110,135800,245092,214067,302772,304356,402755,421124,417123,465120,531230,766719,608287,711490,510652
Zobowiązania krótkoterminowe,324233,223908,296682,309821,758541,576669,609298,417767,377749,618630,667023,552942,564597,627039,703352,1065144,897855,1715800,1772128,2039499
