,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,58391,87439,231768,242383,226038,225822,216752,187663,167180,158986,153880,150859,143896,144519,158024,170575,220613,257432,306762
Aktywa obrotowe,90629,168479,226510,209306,215523,241874,284567,281219,164378,178951,164962,185910,170974,193045,193205,200083,249605,320880,339141
Kapitał własny akcjonariuszy jednostki dominującej,26728,112439,164304,121865,120859,123954,121301,118005,94252,94873,106454,109659,107308,103938,96985,104519,115846,148473,174838
Udziały niekontrolujące,11639,4381,3650,2579,2544,2459,2235,1712,1117,1042,801,816,600,489,609,589,782,853,1506
Zobowiązania długoterminowe,32976,57720,109459,130935,110936,109537,118261,74885,48288,73681,55205,28172,71435,66554,34888,50658,72075,121334,148814
Zobowiązania krótkoterminowe,59202,68901,180865,196310,207222,231746,259522,274280,187901,168341,156382,198122,135527,166583,218747,214892,281515,307652,320745
