,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,65481,64352,64606,63565,71487,89781,93988,154133,158138,150541,143439,148087
Aktywa obrotowe,45651,49139,87791,123985,112902,85952,102055,105260,118481,183979,186612,189869
Kapitał własny akcjonariuszy jednostki dominującej,3543,27691,54447,102926,111928,119138,135088,149885,163414,205814,214364,216668
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania długoterminowe,65578,66516,60759,59428,52752,21949,26131,60175,43435,44721,36429,38046
Zobowiązania krótkoterminowe,42011,19284,37191,25196,19709,34646,34824,49333,69770,83985,79258,83242
