,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,46011,58936,87735,130178,184506,209908,269959,367139,387368,430195,812507,920300,1287300,1154100,3574100,4210500,3375100,3393800,3601300,3740500
Aktywa obrotowe,135662,145555,153147,193058,307091,341217,408263,598474,590746,689532,981725,1151700,1381800,2215800,3161900,2933200,3272300,4106900,3462800,3605500
Kapitał własny akcjonariuszy jednostki dominującej,125757,168704,183441,192828,295157,340209,422848,495085,528711,591856,952239,1123600,1183700,1100500,1020900,963600,181700,985200,416300,841100
Udziały niekontrolujące,0,0,0,0,0,0,0,0,0,0,0,0,52400,67800,126900,126000,128100,166400,166400,112400
Zobowiązania długoterminowe,10907,783,4306,1202,13823,81361,105117,208560,124099,193290,256935,335000,660400,1277800,2650900,3095800,2785400,3410200,2741400,1959300
Zobowiązania krótkoterminowe,45009,35004,53135,129206,182617,129555,150257,261968,325304,334581,585058,613400,772600,923800,2937300,2958300,3552200,2938900,3740000,4433200
