,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aktywa trwałe,61188,143626,196754,173777,176693,198600,194799,197696,190342,197279,186515,187762,186826,181808,184375,242464,242886,265251,278588
Aktywa obrotowe,151970,263176,274303,287104,257183,208412,203926,241441,229255,221690,208805,223997,225617,268801,303839,330356,335835,434667,493451
Kapitał własny akcjonariuszy jednostki dominującej,65188,167211,183207,166497,176258,186509,199249,206454,212385,225784,232616,240295,247980,264883,278965,297262,326152,357146,390713
Udziały niekontrolujące,7152,36480,31057,24574,28814,30084,29448,27664,28513,27755,28092,31837,34523,39111,43258,47865,56279,62472,70889
Zobowiązania długoterminowe,30855,44306,91514,51302,80863,63337,40100,37765,29739,23172,15576,27992,7672,21757,4589,37059,30161,29641,36633
Zobowiązania krótkoterminowe,94481,158805,165279,218508,147941,127082,129928,167254,148960,142258,119036,111635,122268,124858,161402,190634,166129,250659,273804
