,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rok,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aktywa trwałe,31629,30227,32149,248537,338913,449689,248478,171789,186785,144495,153215,206166,165745,184917,76891,62433
Aktywa obrotowe,35787,44259,45896,168157,292680,264957,72248,79056,58130,61006,84244,85395,70853,105134,77296,62567
Kapitał własny akcjonariuszy jednostki dominującej,5980,12313,30527,244976,249524,146748,-50546,-50043,-46553,-44091,-50865,-8636,-23302,94224,-54758,-3282
Udziały niekontrolujące,0,1933,4040,62545,79406,86616,40477,22907,28369,24641,26946,59609,43530,512,-79,0
Zobowiązania długoterminowe,11441,8277,7016,21683,40620,141501,42560,69159,88388,78437,76950,71385,121693,104513,83845,23157
Zobowiązania krótkoterminowe,49995,51964,36461,87489,262043,339781,288236,208822,174711,146514,184428,169203,94678,90802,125178,105124
