,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rok,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,-7325,3722,29721,-33754,-21071,-3485,-15702,6987,8359,3666,90,5545,5551,23524,-11744,5946
Przepływy pieniężne z działalności inwestycyjnej,-281,-1864,-2250,-123252,-78637,-69737,27570,-8859,-7941,-4094,-320,-2309,-10178,-16313,-3257,-11785
Przepływy pieniężne z działalności finansowej,16527,-2488,-34982,161079,98434,70487,-23274,8934,-472,-682,-1613,-3312,4063,-5079,13918,5611
Przepływy pieniężne razem,8921,-630,-7511,4074,-1274,-2735,-11405,7061,-54,-1111,-1842,-76,-564,2132,-1083,-228
