,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,-15384,-2686,3510,6038,-4381,655,11289,1392,13685,29067,23936,4944,47988
Przepływy pieniężne z działalności inwestycyjnej,-2239,-4889,-6775,-10043,-8394,-875,-1154,-5895,-4757,-2180,-2280,-6899,-9383
Przepływy pieniężne z działalności finansowej,26484,146,5864,2049,13592,3756,-11113,2970,-7936,-22242,-22164,-351,-36034
Przepływy pieniężne razem,8861,-7429,2599,-1956,817,3536,-978,-1533,992,4645,-508,-2306,2571
