,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przepływy pieniężne z działalności operacyjnej,22187,17330,24762,39199,29056,24347,27190,6588,18485,14773,-15973,11382,-1779,6510
Przepływy pieniężne z działalności inwestycyjnej,25826,-54071,-5617,-16371,-28828,-43453,-15563,-2406,-7228,213,2030,-4711,405,-1692
Przepływy pieniężne z działalności finansowej,-44919,34693,-15249,-1856,-15853,13475,-5056,-12400,-15912,-14977,14171,-5600,34,-4938
Przepływy pieniężne razem,3094,-2048,3896,20972,-15625,-5631,6571,-8218,-4655,9,228,1071,-1340,-120
