,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,19643,17576,19767,-812,-21951,12100,19363,-21217,10445,10927,-22901,7229,14080,20465,30474,36688,-118,19057,28166,24083
Przepływy pieniężne z działalności inwestycyjnej,-17928,-5478,-22964,121805,753,-8617,-861,-6685,-5768,-4572,-11266,-11862,-10394,-21412,-32719,-36933,-5165,4076,-10044,-23973
Przepływy pieniężne z działalności finansowej,-6292,-8110,7411,-95290,-191,-5626,-7190,3093,9720,1852,18910,22002,3222,7729,11361,1407,-18405,490,-2408,-13065
Przepływy pieniężne razem,-4577,3988,4214,25703,-21389,-2143,11312,-24809,14397,8207,-15257,17369,6908,6782,9116,1162,-23688,23623,15714,-12955
