,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rok,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,18604,6413,25751,11571,16628,25214,20546,9728,10535,5626,13217,-10366,22999,16560,11293
Przepływy pieniężne z działalności inwestycyjnej,-22270,-34502,-88592,-4606,-3976,-6608,-8170,-27651,2497,-3923,-2160,-596,-9932,-20977,-27297
Przepływy pieniężne z działalności finansowej,3709,48756,43074,-3952,-11868,-19733,-9196,15675,-11699,153,7850,7394,-2592,2929,13680
Przepływy pieniężne razem,43,20667,-19767,3013,784,-1127,3180,-2248,1333,1856,18907,-3568,10475,-1488,-2324
