,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rok,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,-40660,13251,36408,-34523,32747,12617,88424,134237,122399,112836,105922,205520,225365,272333,65125,67167
Przepływy pieniężne z działalności inwestycyjnej,-18289,-20921,6299,-58902,-180697,-59641,-90486,-11571,-20897,-17194,-17031,-17393,-21558,-24997,-19658,-65168
Przepływy pieniężne z działalności finansowej,58804,7553,-36936,103585,138713,91212,41627,-91301,-91021,-83360,-83202,-175442,-141943,-204299,-35276,-34046
Przepływy pieniężne razem,-145,-117,5771,10160,-9237,44189,39565,31365,10482,12282,5688,12684,61863,43036,10190,-32047
