,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,3208,46587,76018,172971,195433,318099,197462,254039,481306,508829,492896,253888,718176,893185,1212010,1848301,1074533,3003748,622364,4343300
Przepływy pieniężne z działalności inwestycyjnej,-64373,-92904,-62520,-96591,-577244,-71177,-130556,-39608,-260736,-518295,-475959,-415526,-181354,-383934,-704396,-861467,-1007058,-1328332,-897059,-983600
Przepływy pieniężne z działalności finansowej,54084,58191,-10315,-53497,418210,-139271,-101011,-193936,-178143,-571,17237,201162,-393849,-359872,20928,-682470,-139543,-1634690,-609297,-2749700
Przepływy pieniężne razem,-7081,11874,3183,22883,36399,107651,-34105,20495,42427,-10037,34174,39524,142973,149379,528542,304364,-72068,40726,-883992,610000
