,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,10020,8348,18179,24251,20528,23378,29892,51749,37946,41927,77071,93190
Przepływy pieniężne z działalności inwestycyjnej,5647,117,-712,-4936,-13764,-20504,-12251,-16825,-15891,-240,-7770,-10969
Przepływy pieniężne z działalności finansowej,-8347,-2724,3908,14677,-29507,-41774,-18334,-39618,-19251,4986,-104076,-77606
Przepływy pieniężne razem,7320,5741,21375,33992,-22743,-38900,-693,-4694,2804,46673,-34775,4615
