,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przepływy pieniężne z działalności operacyjnej,353,3952,-4041,7180,2122,-1240,2122,9604,-683,644,5609,7746,5120,9686,8678,775,-27864,44978
Przepływy pieniężne z działalności inwestycyjnej,-1687,-443,-3133,-2461,-8658,-11331,-1311,-266,-167,-1915,-4377,-4253,-2608,-7487,-11790,-3758,-2608,-7010
Przepływy pieniężne z działalności finansowej,1341,3275,518,-1885,5625,10861,-141,-9319,1374,154,-1081,-2646,-2936,-1992,3391,2522,31732,-38187
Przepływy pieniężne razem,7,6784,-6656,2834,-911,-1710,670,19,524,-1117,151,847,-424,207,279,-461,1260,-219
