,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,18274,8601,34355,28291,39272,25021,39483,88833,31537,59276,120891,140154,147857,228933
Przepływy pieniężne z działalności inwestycyjnej,-28698,-13083,-9073,-48178,-69202,-25413,-27119,-48894,-47342,-77861,-103757,-200953,-184395,-179850
Przepływy pieniężne z działalności finansowej,10409,4095,-26688,42236,14821,2485,-4737,-41620,30442,13894,-19734,47312,38697,-49416
Przepływy pieniężne razem,-15,-387,-1406,22349,-15109,2093,7627,-1681,14637,-4691,-2600,-13487,2159,-333
