,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,3534,-22902,-6232,9058,24745,23083,24592,34121,3980,9067,13907,23298,27990,32782,13048,6297,23135,42242,53285
Przepływy pieniężne z działalności inwestycyjnej,-21863,-40080,-41122,-1327,9207,-2700,-7480,7211,-6444,-4127,1927,-4459,-1603,-7916,-16290,-8074,-40671,-48800,-47429
Przepływy pieniężne z działalności finansowej,18374,87429,24661,-7904,-33271,-21217,-16930,-23976,-14225,-4032,-15483,-20173,-25790,-5362,-2185,-2695,13009,14949,8746
Przepływy pieniężne razem,45,24447,-22693,-173,681,-834,182,17356,-16689,908,351,-1334,597,19504,-5427,-4472,-4527,8391,14602
