,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,36794,105404,111676,114644,164552,149178,262876,204101,286874,310064,365574,529937,792325,512104
Przepływy pieniężne z działalności inwestycyjnej,-75337,-57154,-78231,-83118,-150180,-130777,-167143,-141983,-251034,-237905,-150893,-148398,-224121,-250092
Przepływy pieniężne z działalności finansowej,41221,-7259,-39814,-38777,57130,-57232,-77476,-99065,-42989,-63738,-103772,-235956,-361964,-500416
Przepływy pieniężne razem,2678,40991,-6369,-7251,71502,-38831,18257,-36947,-7149,8421,110909,145583,206240,-238404
