,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,217,1090,1742,2750,-4170,-10884,1197,863,-1490,1546,141,591,-2360,2382,-838,123,9447,-1596,-993,2335
Przepływy pieniężne z działalności inwestycyjnej,-1513,-1873,-2120,-4276,-13270,1376,10854,-6354,-479,-1754,-1105,763,343,587,-5716,5713,-4860,-1293,7523,-972
Przepływy pieniężne z działalności finansowej,0,614,611,1360,53770,-19512,-3925,-1272,-3995,153,-101,-575,1195,2283,1064,-1135,446,-613,-500,1517
Przepływy pieniężne razem,-1296,-169,233,-166,36330,-29020,8126,-6763,-5964,-55,-1065,779,-822,5252,-5490,4701,5033,-3502,6030,2880
