,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,9793,15337,3973,41761,31720,21331,25404,40529,18798,12043,7980,4972,19296
Przepływy pieniężne z działalności inwestycyjnej,-1208,-3185,-10655,-4282,-9617,-4761,-29851,-41101,-14624,-3152,-1640,-1945,-1679
Przepływy pieniężne z działalności finansowej,-9760,-10755,7535,-39689,-20627,-15946,3946,2737,-1980,-594,-6992,-13719,-16990
Przepływy pieniężne razem,-1175,1397,853,-2210,1476,624,-501,2165,2194,8297,-652,-10692,627
