,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przepływy pieniężne z działalności operacyjnej,43938,6227,20992,-1912,59170,53306,44765,19059,43926,30290,56838,34831,51840,55340,40788,17384,107324,35197,68971
Przepływy pieniężne z działalności inwestycyjnej,-21662,-22027,-52074,-36197,-7313,-10742,-5198,-11784,-10265,-11918,3770,-8961,-11462,-13452,-17150,-30497,-16078,-27563,-25503
Przepływy pieniężne z działalności finansowej,-17049,58861,15762,23390,-60552,-41062,-44822,-7412,-25197,-25078,-60206,-23919,-35760,-24802,-16281,-1143,-85166,-9856,-45870
Przepływy pieniężne razem,5227,43061,-15320,-14719,-8695,1502,-5255,-137,8464,-6706,402,1951,4618,17086,7357,-14256,6080,-2222,-2402
