,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przepływy pieniężne z działalności operacyjnej,-1419,-5519,-8959,7184,3924,9323,1768,-17148,21171,8175,5824,28460,7914,449,-2490,3635,18461,6877,17741
Przepływy pieniężne z działalności inwestycyjnej,-516,-3450,-17132,-3030,-359,-9649,-72,-4772,-548,-703,-4524,-9297,-129,12561,-4114,-2775,-5325,-3827,-2728
Przepływy pieniężne z działalności finansowej,13163,-5005,27660,-3143,-577,671,-2636,20931,-20752,-4508,-915,-15244,-14327,-4584,1656,-2942,-12599,-2023,-12650
Przepływy pieniężne razem,11228,-13974,1569,1011,2988,345,-940,-989,-129,2964,385,3919,-6542,8426,-4948,-2082,537,1027,2363
