,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,10169,20426,19822,32306,31135,31967,37062,58055,71978,75072,100894,114654,96516,83244,120235,83124,55501,107665,80159,75357
Przepływy pieniężne z działalności inwestycyjnej,-20444,-35104,-813,-31099,-16185,-5859,-26717,-42775,-25285,-23055,-30462,-62344,-111083,-69942,-20284,-24864,-15832,-11997,-14680,2417
Przepływy pieniężne z działalności finansowej,13132,10890,-17677,-3522,-15369,-16690,-14998,-14998,-16497,-20997,-29995,-29995,-29995,-30069,-37628,-39475,-46769,-39151,-108087,-15043
Przepływy pieniężne razem,2857,-3788,1332,-2315,-419,9418,-4653,282,30196,31020,40437,22315,-44562,-16767,62323,18785,-7100,56517,-42608,62731
