,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,-1334,45984,20419,30537,43560,124659,89202,-13360,207441,145354,54045,325400,174700,78200,995800,986600,-62100,50300,466500,710600
Przepływy pieniężne z działalności inwestycyjnej,-4410,-21306,-23963,-49237,-57689,-44838,-51580,-96180,-51194,-92625,-205194,-155500,-362000,-222300,-620800,-713600,-261800,-219200,-409100,-315600
Przepływy pieniężne z działalności finansowej,33938,-21920,-20513,20713,18600,-34284,-15452,61401,-65465,-34701,169319,8800,-9900,514800,-514800,-104700,240000,651300,-677300,-634200
Przepływy pieniężne razem,28194,2758,-24057,2013,4471,45537,22170,-48139,90782,18028,18170,178700,-197200,370700,-139800,168300,-83900,482400,-619900,-239200
