,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,8342,1529,18478,9926,14962,9985,23320,19066,74256,13623,14389,21539
Przepływy pieniężne z działalności inwestycyjnej,-4537,-5711,-10356,-10403,-12927,-7123,-30509,-12710,-15822,-16401,-14726,-8922
Przepływy pieniężne z działalności finansowej,-3874,6153,-9698,-254,-3197,-2387,7091,-6146,-52873,-1452,-969,-10914
Przepływy pieniężne razem,-69,1971,-1576,-731,-1162,475,-98,210,5561,-4230,-1306,1703
