,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przepływy pieniężne z działalności operacyjnej,2408,-10042,12994,18857,12237,18187,4116,9745,4872,6621,6302,14711,-9171,-10871,-10690,-23757,11280,4737
Przepływy pieniężne z działalności inwestycyjnej,-4326,-9003,-21789,-44357,-18931,-3597,-7844,-940,-736,-3849,-2424,-3333,-2665,-1301,-2727,-3964,-5969,-8561
Przepływy pieniężne z działalności finansowej,8768,13155,8014,26169,6709,-14646,5273,-10209,-4002,-3115,-3859,-11387,12632,11327,12382,33806,-8560,1540
Przepływy pieniężne razem,6850,-5890,-781,669,15,-56,1545,-1404,134,-343,19,-9,796,-845,-1035,6085,-3249,-2284
