,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,12719,-8616,13728,6697,1677,2769,9924,21498,26915,11123,30059,33477,-8968,21753,34533,41108,-17953,29152
Przepływy pieniężne z działalności inwestycyjnej,-13607,-39658,-81428,-8015,2756,16866,-4160,5276,-17980,483,-5437,-17100,-18161,-25760,-8557,34187,559,-47336
Przepływy pieniężne z działalności finansowej,3522,50659,66177,16205,-2036,-15415,-2407,-25952,0,0,-12704,-7329,-2694,-22596,-13453,-26698,6193,-3491
Przepływy pieniężne razem,2634,2385,-1523,14887,2397,4220,3357,822,8935,11606,11918,9048,-29823,-26603,12523,48597,-11201,-21675
