,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,3611,2178,1502,16834,-7826,7305,24379,16866,28814,33615,71043,61000,-41108,20753
Przepływy pieniężne z działalności inwestycyjnej,-2537,-1774,-715,-641,-428,-4394,-10023,-5671,-40735,-2444,-4891,-2750,-4375,-1105
Przepływy pieniężne z działalności finansowej,-1311,2560,-2147,-16218,15413,-7524,-11004,76,-329,-29981,-63204,-53098,31754,-19469
Przepływy pieniężne razem,-237,2964,-1360,-25,7159,-4613,3352,11271,-12250,1190,2948,5152,-13729,179
