,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,93749,4219,91619,174055,-27849,45589,-152469,127189,145992,219758,204522,360551,259986,266686,193686,302236,171262,1027239,1031872,1469060
Przepływy pieniężne z działalności inwestycyjnej,-48261,-71799,-123591,-158178,-158315,-69587,-25969,-63034,-113678,-158048,-197383,-317577,-312917,-223842,-192656,-168763,-2166827,-147487,-183968,-218598
Przepływy pieniężne z działalności finansowej,-56954,107338,18306,-43439,171049,-78354,166845,-55996,-29093,-29168,-34575,-2583,52900,7301,13451,152230,1613510,-668529,-1072043,-1255810
Przepływy pieniężne razem,-11466,39758,-13666,-27562,-15115,-102352,-11593,8159,3221,32542,-27436,40391,-31,50145,14481,285703,-382055,211223,-224139,-5348
