,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przepływy pieniężne z działalności operacyjnej,-1353,-27159,-9255,4414,-1597,-3870,-2067,-7190,-2260,-1084,3756,-2873,-14139,-4201,-4994,-2904,-4022,-594,-243
Przepływy pieniężne z działalności inwestycyjnej,-1140,24566,-35246,-18191,3020,13513,12619,5646,328,-664,1167,-413,-342,-302,-493,-186,-343,-222,-241
Przepływy pieniężne z działalności finansowej,2340,3026,45132,15705,-4466,-9530,-11939,2069,2093,1253,4017,1936,15665,4778,4839,2936,3634,621,577
Przepływy pieniężne razem,-153,433,631,1928,-3043,113,-1387,525,161,-495,8940,-1350,1184,275,-648,-154,-731,-195,93
