,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,46557,83844,88750,117551,149969,210671,131921,131666,123801,132776,124181,144872,154017,165588,187175,169651,328922,354844
Zysk ze sprzedaży,2540,-574,-2066,1846,772,-4355,536,5090,6987,6651,7423,7496,7847,9104,9765,4557,34950,52760
Zysk operacyjny (EBIT),2450,1979,-1541,4354,3010,-214,1539,5092,7629,7761,7603,7988,8345,6911,11184,8544,33198,43668
Zysk z działalności gospodarczej,2159,2664,-2715,2734,1633,-2692,337,2735,5778,6552,6567,6912,7332,5530,9608,7801,30343,42156
Zysk przed opodatkowaniem,2159,2664,-2715,2734,1633,-2692,337,2735,5778,6552,6567,6912,7332,5530,9608,7801,30343,42156
Zysk netto,1822,2422,-2776,2198,2175,-3347,1258,2900,4143,4914,5092,5517,5830,3803,7528,6390,24458,32891
Zysk netto akcjonariuszy jednostki dominującej,1822,2422,-2776,2198,2175,-3347,1258,2900,4143,4914,5092,5517,5830,3803,7528,6390,24458,32891
