,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,78391,98358,94406,109624,120571,141121,156489,155001,179850,173737,205852,241791,275495
Zysk ze sprzedaży,4571,5633,4550,5840,-1277,-3465,4071,8353,6759,7947,20883,6835,12996
Zysk operacyjny (EBIT),4479,5305,4721,6905,-735,-3329,3761,8913,8784,7815,22731,12976,15989
Zysk z działalności gospodarczej,5069,4937,4123,5662,-1861,-3493,8383,7908,5917,5878,20702,9988,9163
Zysk przed opodatkowaniem,5069,4937,4123,5662,-1861,-3493,8383,7908,5917,5878,20702,9988,9163
Zysk netto,4054,3776,3264,4411,-2936,-4346,6575,5830,3871,3843,16333,8079,7386
Zysk netto akcjonariuszy jednostki dominującej,4054,4016,3510,4801,-2129,-4041,7597,7209,5897,5497,17574,8079,7386
