,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,120180,130468,139006,156635,148952,142716,173268,218631,311188,233995,262481,262590,199469,232720,253543,295926,314281,390605,447359
Zysk ze sprzedaży,5250,6965,1468,2504,4377,7649,8771,16573,9123,9437,14674,6177,373,2843,4601,7653,9617,10965,19381
Zysk operacyjny (EBIT),5337,8301,1514,1765,4809,7765,9441,14010,8956,9115,13146,6182,2719,10549,4910,8382,11660,11537,20310
Zysk z działalności gospodarczej,5349,7768,1012,-571,1146,6060,7444,12994,2678,7412,12124,5635,1027,9971,3876,7454,9846,10059,12932
Zysk przed opodatkowaniem,5349,7768,1012,-571,1146,6060,7444,12994,2678,7412,12124,5635,1027,9971,3876,7454,9846,10059,12932
Zysk netto,4412,6250,765,34,95,4840,5878,10102,2610,5674,9651,4533,645,7746,2915,5840,7764,7768,10050
Zysk netto akcjonariuszy jednostki dominującej,4412,6250,849,34,95,4840,5878,10102,2610,5674,9651,4533,645,7746,2915,5840,7764,7768,10050
