,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,74722,87044,130515,151646,170280,215005,245087,284536,211040,277741,405919,467103
Zysk ze sprzedaży,-1748,9152,27630,31182,26954,36503,40969,37470,17233,52242,89288,79899
Zysk operacyjny (EBIT),-13013,7558,28097,30867,25163,34756,38066,36526,18438,53648,87728,77717
Zysk z działalności gospodarczej,-15130,12581,24726,30204,24922,29666,38230,36637,16363,52175,78419,76239
Zysk przed opodatkowaniem,-15130,12581,24726,30204,24922,29666,38230,36637,16363,52175,78419,76239
Zysk netto,-15555,14431,27666,27111,20341,21868,30972,32033,13268,42238,62887,61288
Zysk netto akcjonariuszy jednostki dominującej,-15555,14431,27666,27111,20341,21868,30972,32033,13268,42238,62887,61288
