,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,199052,217618,239222,245195,255389,313333,377637,474433,555897,595645,594161,631188,645896,618456,559164,564440,488621,517949,585142,663444
Zysk ze sprzedaży,17697,26786,24577,29522,33016,39752,57856,68599,80789,98134,101952,108182,99121,97848,94396,70911,68006,56524,37736,77198
Zysk operacyjny (EBIT),17988,24679,54284,28171,30881,39227,56963,66864,77440,96011,102922,107843,98677,97495,94370,70303,72101,56338,37549,77537
Zysk z działalności gospodarczej,24576,27958,54523,27879,31221,39923,59153,70182,82710,99804,108683,114994,105279,104561,95860,73042,71545,56205,45889,88431
Zysk przed opodatkowaniem,24576,27958,54523,27879,31221,39923,59153,70182,82710,99804,108683,114994,105279,104561,95860,73042,71545,56205,45889,88431
Zysk netto,18715,22969,44184,22378,25053,32051,47739,56657,66668,80410,87179,92868,85086,113322,77256,58610,57260,43226,36976,72084
Zysk netto akcjonariuszy jednostki dominującej,18715,22969,44184,22378,25053,32051,47739,56657,66668,80410,87179,92868,85086,113322,77256,58610,57260,43226,36976,72084
