,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,93745,181676,316162,378910,478580,550697,664205,615702,457892,379964,416089,453557,489529,513263,556257,686349,778396,1115366,992134
Zysk ze sprzedaży,15779,19119,16473,-10246,-1024,12289,6352,2007,-3386,3117,6470,9470,9124,8068,2358,24086,22483,67517,24594
Zysk operacyjny (EBIT),14862,19663,22464,-16267,9934,14095,12314,4307,-17651,7137,7505,9841,3798,5752,318,18829,22618,62747,27541
Zysk z działalności gospodarczej,19684,17526,45103,-47233,-82,5968,-902,-2063,-26506,577,1548,4418,116,794,-5946,10975,15051,41014,7218
Zysk przed opodatkowaniem,19684,17526,45103,-47233,-82,5968,-902,-2063,-26506,577,1548,4418,116,794,-5946,10975,15051,41014,7218
Zysk netto,16900,14853,39676,-40851,-1039,3025,-2869,-3818,-24348,546,631,3229,-2567,693,-6834,9344,12463,33642,9738
Zysk netto akcjonariuszy jednostki dominującej,16656,14627,39676,-39115,-1006,3093,-2654,-3296,-23753,621,1071,3205,-2351,700,-6844,9327,12313,33505,10691
