,0,1,2,3,4,5,6,7,8,9,10,11,12
Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,273304,260482,241093,258175,280675,294609,283465,277932,215548,216518,271942,331216,252429
Zysk ze sprzedaży,22898,25999,26055,26438,29357,25939,22920,22005,-2362,8080,8598,21709,2239
Zysk operacyjny (EBIT),22168,27238,24869,27686,29997,26389,22204,22317,-58502,5877,7597,19888,-17527
Zysk z działalności gospodarczej,22459,24541,24286,27786,29552,25904,21326,21753,-59664,4765,5950,10804,-35394
Zysk przed opodatkowaniem,22459,24541,24286,27786,29552,25904,21326,21753,-59664,4765,5950,10804,-35394
Zysk netto,17940,19409,19968,22409,23849,20875,17211,17560,-55578,3034,4786,8330,-39027
Zysk netto akcjonariuszy jednostki dominującej,17940,19409,19968,22409,23849,20875,17211,17560,-55578,3034,4786,8330,-39027
