,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,523757,340597,408154,439960,428771,398907,409732,429117,424552,418192,396913,424140,460485,495660,552416,590873,673169,775648,875811
Zysk ze sprzedaży,29439,24502,21683,8577,23443,34273,37680,30924,35639,31272,27583,31639,47581,51773,57118,57777,77062,87353,96690
Zysk operacyjny (EBIT),26597,33013,36682,12840,20986,39423,38282,30969,31968,30187,34184,33985,42039,57032,55624,58537,77886,86027,99769
Zysk z działalności gospodarczej,20118,33259,33774,-7497,11824,26879,31309,23874,25088,24459,31717,31353,40896,56209,54542,55436,75822,82755,93687
Zysk przed opodatkowaniem,20118,33259,33774,-7497,11824,26879,31309,23874,25088,24459,31717,31353,40896,56209,54542,55436,75822,82755,93687
Zysk netto,10470,26008,28480,-9493,8145,21157,23211,18521,23763,30179,25163,25288,32499,41889,41970,44195,60430,66318,75888
Zysk netto akcjonariuszy jednostki dominującej,10470,20882,18421,-8812,5094,14888,19143,16032,16531,26047,19017,17869,23073,32239,32919,34660,45624,51824,61456
