,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,81981,83467,93102,83679,11830,36650,38810,50812,35654,34772,30965,32180,20207,22238,21760,24379,33659,43312,47063
Zysk ze sprzedaży,7823,2805,-859,-7063,-33897,1258,-5212,-7435,790,3440,-3198,-6176,-9355,-3842,-5692,-3371,-2886,-1332,348
Zysk operacyjny (EBIT),6783,20991,2867,-8661,-55261,9355,-15686,-11628,863,2948,-1300,-9813,-8337,-4720,-5708,-3017,-2813,-530,383
Zysk z działalności gospodarczej,3745,16305,-302,-12122,-70458,2953,-17648,-16216,-2904,-763,-3751,-12835,-10537,-5387,-6129,-3492,-3642,-1362,-1324
Zysk przed opodatkowaniem,3745,16305,-302,-12122,-70458,2953,-17648,-16216,-2904,-763,-3751,-12835,-10537,-5387,-6129,-3492,-3642,-1362,-1324
Zysk netto,2790,12306,-361,-9699,-69776,4636,-24900,-14553,-3267,-429,-3035,-15444,-11188,-4053,-2268,-4638,-4107,-2459,-1637
Zysk netto akcjonariuszy jednostki dominującej,2790,7394,-361,-9699,-69776,4636,-24900,-14553,-3267,-429,-3035,-15444,-11188,-4053,-2268,-4638,-4107,-2459,-1637
