,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,27490,56752,62648,72067,80706,84809,98853,98744,104239,98822,137502,178563,177272,167135,234644,272928,311877,369157
Zysk ze sprzedaży,2419,5179,4466,8242,10812,3783,3736,7439,6016,4324,7537,16549,17176,8292,7438,17320,22179,24691
Zysk operacyjny (EBIT),3009,5084,3594,7485,10435,3337,2930,6186,5225,2504,5858,15034,15010,7034,6343,16421,21662,24462
Zysk z działalności gospodarczej,2734,4519,3272,7100,10256,2856,1134,5031,4910,1960,5121,13555,13769,6056,4197,16204,16135,17244
Zysk przed opodatkowaniem,2734,4519,3272,7100,10256,2856,1134,5031,4910,1960,5121,13555,13769,6056,4197,16204,16135,17244
Zysk netto,2156,3619,4014,5702,8280,2295,901,4050,3949,1563,4064,10915,11074,4830,3300,12945,12918,13782
Zysk netto akcjonariuszy jednostki dominującej,2156,3619,4014,5702,8280,2295,901,4050,3949,1563,4064,10915,11074,4830,3300,12945,12918,13782
