,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rok,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,100991,119784,115441,148719,158434,179450,203675,230302,251271,514121,405670,444248,409869,328982
Zysk ze sprzedaży,9092,7368,4079,9843,21070,18443,18929,26054,30188,26368,21148,39573,22253,6103
Zysk operacyjny (EBIT),9187,8408,3828,7663,16112,17908,18732,25437,29007,24303,-3115,44290,21431,8805
Zysk z działalności gospodarczej,6752,2815,3727,4240,13612,15993,16911,16545,29197,14962,-45469,41815,18167,6275
Zysk przed opodatkowaniem,6752,2815,3727,4240,13612,15993,16911,16545,29197,14962,-45469,41815,18167,6275
Zysk netto,5797,1942,2497,3034,11386,13292,14027,13431,23398,11509,-41756,32934,11234,-3375
Zysk netto akcjonariuszy jednostki dominującej,5797,1942,2497,3034,11386,13292,14027,13431,23398,12651,-36750,31741,12163,-3375
