,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,30364,25118,38310,35442,43736,21733,38242,164005,190088,210801,236133,240250,273977,230801,239551,258123,237680,265433,332005,377613
Zysk ze sprzedaży,5391,1563,6818,6712,7155,-106,2200,10679,7828,8861,14947,-89,22252,8711,10079,22938,38639,29230,33035,55925
Zysk operacyjny (EBIT),4905,2811,9134,7053,6565,2115,-2288,9597,10771,8641,16844,6288,19070,5577,13138,22848,41789,30405,28923,53146
Zysk z działalności gospodarczej,4506,6165,15779,13447,5515,1962,-5326,41863,6056,5707,13537,3956,15219,4372,8598,25506,38487,29444,24894,53697
Zysk przed opodatkowaniem,4506,6165,15779,13447,5515,1962,-5326,41863,6056,5707,13537,3956,15219,4372,8598,25506,38487,29444,24894,53697
Zysk netto,3624,4107,11501,10666,4303,1064,-4971,39726,5659,2779,10825,2633,11201,2322,6571,20288,31122,24080,20385,45352
Zysk netto akcjonariuszy jednostki dominującej,4044,2974,11501,10666,4303,1064,-4971,39726,5659,2779,11056,3108,12128,2915,6229,20605,31308,24238,20609,45607
