,0,1,2,3,4,5,6,7,8,9,10,11
Rok,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,105473,133064,166916,165331,166723,206870,269271,296783,445942,395308,377158,359230
Zysk ze sprzedaży,5628,9192,18857,17475,8887,6492,7714,11937,82899,18251,21383,7115
Zysk operacyjny (EBIT),4930,7540,16925,18172,3925,7565,8145,10556,74356,20524,16688,-3039
Zysk z działalności gospodarczej,3578,6089,15902,16989,2670,7129,6028,8262,71551,20918,14148,-6734
Zysk przed opodatkowaniem,3578,6089,15902,16989,2670,7129,6028,8262,71551,20918,14148,-6734
Zysk netto,2845,4335,12073,13560,2556,5747,5050,7063,56932,15580,13080,-6681
Zysk netto akcjonariuszy jednostki dominującej,2845,4335,12073,13560,2556,5746,5050,7063,56932,15580,13080,-6681
