,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,130135,131100,180843,411639,504871,408402,353921,387703,395513,397677,443388,517692,598602,688513,805674,1068266,853714,1069927,1273952,1301690
Zysk ze sprzedaży,13154,17756,9089,18837,22665,-4287,22266,25417,20340,26281,36204,49351,50722,66077,72152,86895,504,103755,143227,119830
Zysk operacyjny (EBIT),19893,17006,6831,58619,-130270,40229,23265,25329,21701,33646,36797,46975,51088,62832,71917,87492,-11923,97685,140607,112633
Zysk z działalności gospodarczej,21085,16762,8508,63782,-158796,11107,1558,2605,9286,54515,25452,35685,44445,54985,65728,79357,-48074,83746,117638,129898
Zysk przed opodatkowaniem,21085,16762,8508,63782,-158796,11107,1558,2605,9286,54515,25452,35685,44445,54985,65728,79357,-48074,83746,117638,129898
Zysk netto,19341,14010,6143,58539,-159456,16894,1663,6,12276,45061,20285,28225,35188,43208,53572,63993,-48170,66310,92958,101729
Zysk netto akcjonariuszy jednostki dominującej,19341,14010,6143,58539,-159456,16894,1663,6,12276,45061,20285,28225,35188,43208,53572,63993,-48170,66310,92958,101729
