,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rok,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,35740,51408,96473,118464,115373,175250,92246,75143,87448,114371,127337,112188,80197,154532,91575,73923
Zysk ze sprzedaży,6848,13613,33506,-19315,-25497,-58598,-18539,13002,3302,35349,4685,2784,1586,43251,1946,-6355
Zysk operacyjny (EBIT),8370,14936,34404,96627,56552,-18864,-1298,52829,66693,39126,5997,29975,18251,43251,1946,-6355
Zysk z działalności gospodarczej,-2707,7214,29786,92721,35993,-87917,-186993,-10264,16074,2914,1831,23701,5574,82317,-7399,-4537
Zysk przed opodatkowaniem,-2707,7214,29786,92721,35993,-87917,-186993,-10264,16074,2914,1831,23701,5574,82317,-7399,-4537
Zysk netto,-2707,7200,29780,93541,36141,-86149,-186709,-7381,16354,3116,1790,23644,4781,82296,-7399,-4569
Zysk netto akcjonariuszy jednostki dominującej,-2707,7200,29780,92748,25132,-95080,-175907,-9624,16354,1246,1162,22741,10215,73246,-6810,-4281
