,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rok,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,142810,156667,228756,315377,280121,279763,241934,223361,226327,223299,212770,230770,248618,252229,284710
Zysk ze sprzedaży,14954,13201,16854,13892,8673,12522,6785,-1294,-1244,-1235,-9393,534,-2772,-2940,19313
Zysk operacyjny (EBIT),14607,13693,14253,13583,5932,12744,6441,-37656,-2087,-10278,-16502,-516,-3926,-4535,20404
Zysk z działalności gospodarczej,13741,12801,12351,8701,2514,10344,4928,-37211,-3855,-11850,-17834,-2044,-5601,-8946,15285
Zysk przed opodatkowaniem,13741,12801,12351,8701,2514,10344,4928,-37211,-3855,-11850,-17834,-2044,-5601,-8946,15285
Zysk netto,11115,10479,9705,6659,1685,9179,3812,-46128,-3428,-13236,-17788,-1719,-4845,-9281,13700
Zysk netto akcjonariuszy jednostki dominującej,11115,10468,8663,6523,3980,9441,3467,-36462,-2835,-13614,-16041,-824,-4497,-8672,12588
