,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,277986,330926,400857,544493,754281,922408,1028559,1091260,1317457,1643139,2009059,2307000,3185300,4194000,4725800,5844700,5638600,7591500,9123200,9440300
Zysk ze sprzedaży,31526,54413,61701,82825,130746,106621,135454,165045,150652,184376,252592,254800,347200,417900,254200,122500,-398300,-64300,50800,142200
Zysk operacyjny (EBIT),29684,54869,62043,63246,131916,108159,129119,159052,141334,167517,243234,256700,373400,404500,372500,133100,-626700,3900,-51300,183900
Zysk z działalności gospodarczej,25307,54652,64827,58288,122201,99677,122609,151374,126323,151276,225135,233000,340900,340800,256400,27600,-968300,-153900,-398900,-138500
Zysk przed opodatkowaniem,25307,54652,64827,58288,122201,99677,122609,151374,126323,151276,225135,233000,340900,340800,256400,27600,-968300,-153900,-398900,-138500
Zysk netto,20743,43836,53222,47653,102463,83603,117856,122776,106314,125217,420075,259400,315500,302300,56700,-27500,-1280300,-192300,-443900,-124700
Zysk netto akcjonariuszy jednostki dominującej,20743,43836,53222,47653,102463,83603,117856,122776,106314,125217,420075,259000,306500,286900,59300,-27400,-1279700,-223400,-417600,-56100
