,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rok,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,546289,685851,815135,1274332,1622999,2003095,2079358,2492510,3223755,4116302,4769288,5130353,6019046,7029425,8046756,9899243,7848079,14029674,15926504,17406200
Zysk ze sprzedaży,55817,60741,55158,185493,234345,195329,204842,353479,466309,649946,644152,551162,325004,620027,869086,932613,236367,2146311,1310564,2401700
Zysk operacyjny (EBIT),52658,58789,49416,175275,214774,181278,199016,343106,454417,615627,609103,502689,226421,578434,756560,805672,153024,1478971,1184398,2283500
Zysk z działalności gospodarczej,52671,52105,48305,165832,213225,139251,180818,331023,424136,523871,459895,414368,194078,563671,723680,665190,-116514,1232010,1087485,2047200
Zysk przed opodatkowaniem,52671,52105,48305,165832,213225,139251,180818,331023,424136,523871,459895,414368,194078,563671,723680,665190,-116514,1232010,1087485,2047200
Zysk netto,42156,40053,39323,134749,167507,104721,137412,269146,353977,432859,481860,351320,174775,440774,505176,421039,-190130,953522,485074,1612000
Zysk netto akcjonariuszy jednostki dominującej,42156,40053,39323,134749,167507,103654,137412,268725,352429,430964,479546,351320,174775,440851,505176,421039,-190130,953522,486696,1607100
