,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rok,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,86572,105313,147769,188689,218408,232408,194079,233003,219991,217184,214184,205201,183934,242324,208700,156321,231772,239457
Zysk ze sprzedaży,3789,3854,5234,3742,2170,4191,-10588,4790,-208,-1443,-1805,-5393,-9611,-4122,-7463,-22887,-5216,-19407
Zysk operacyjny (EBIT),3692,3968,6680,4364,2097,4150,-11597,3800,109,-984,-1750,-7087,-10230,-4346,-5752,-26543,330,-12314
Zysk z działalności gospodarczej,3133,3601,5914,1119,186,1553,-14847,1022,-2128,-3175,-3811,-8961,-10971,-6048,-6666,-27112,-817,-13979
Zysk przed opodatkowaniem,3133,3601,5914,1119,186,1553,-14847,1022,-2128,-3175,-3811,-8961,-10971,-6048,-6666,-27112,-817,-13979
Zysk netto,2507,2949,4629,642,146,1053,-12383,616,-1873,-2653,-4419,-8573,-8999,-5285,-6175,-26407,-1440,-12801
Zysk netto akcjonariuszy jednostki dominującej,2507,2949,4629,642,146,1053,-12383,616,-1873,-2653,-4419,-8573,-8999,-5285,-6175,-26407,-1440,-12801
